country,district,site,houseNumber,collectionMethod,total,totalAnopheles,totalOtherMosquitoes,maleAnopheles,anGambiaeUF,anGambiaeF,anGambiaeG,AnGambiaeMale,AnGambiaeFemale,anFunestusUF,anFunestusF,anFunestusG,AnFunestusMale,AnFunestusFemale,anOtherUF,anOtherF,anOtherG,AnOtherMale,AnOtherFemale,CulexUF,CulexF,CulexG,culexMale,culexFemale,AedesUF,AedesF,AedesG,aedesMale,aedesFemale,MansoniaUF,MansoniaF,MansoniaG,mansoniaMale,mansoniaFemale,peopleSlept,irsSprayed,monthsAgo,totalLLIN,llinType,llinBrand,peopleSleptUnderLlin,name,date,site code,health centre,parish,village,coded house number,Latitude,Longitude,House Type,Title of Officer
Uganda,Mayuge,84,574,CDC Light Trap (LTC),13,3,10,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,3,0,1,0,0,2,0,9,No,,6,Pyrethroid + PBO,OLYSET,4,,2025-11-28T07:13:08.000Z,84,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Koboko,95,585,CDC Light Trap (LTC),14,5,9,5,1,0,1,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,10,No,,2,Pyrethroid + PBO,OLYSET,3,,2025-11-27T01:24:38.000Z,95,Koboko Mission Health Centre III,,,,,,,Field Operations Team (FOT)
Uganda,Koboko,96,586,Pyrethrum Spray Catch (PSC),8,4,4,4,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,8,Yes,3,6,Pyrethroid + PBO,OLYSET,8,,2025-11-24T16:46:06.000Z,96,Koboko Mission Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,77,559,CDC Light Trap (LTC),7,2,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,,No,2,1,Unknown,Unknown,1,,2025-11-24T05:47:12.000Z,77,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,81,571,CDC Light Trap (LTC),7,4,3,4,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,5,No,,5,Pyrethroid + PBO,OLYSET,3,,2025-11-23T20:57:47.000Z,81,Malongo Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,86,1292,Pyrethrum Spray Catch (PSC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-23T13:37:38.000Z,86,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,78,1291,Other other,44,42,2,42,24,10,4,40,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,,No,,,Unknown,Unknown,,,2025-11-23T15:52:51.000Z,78,Bukatube Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,78,1290,Other insectary,43,42,1,42,20,16,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,No,,,Unknown,Unknown,,,2025-11-23T14:38:21.000Z,78,Bukatube Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Mayuge,81,1288,Human Landing Catch (HLC),3,3,0,3,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-23T11:51:53.000Z,81,Malongo Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,81,1282,CDC Light Trap (LTC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,,2,Pyrethroid Only,OLYSET Net,,,2025-11-20T21:46:27.000Z,81,Malongo Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,81,1283,CDC Light Trap (LTC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-20T22:11:39.000Z,81,Malongo Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1281,CDC Light Trap (LTC),1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-22T20:50:18.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1280,Pyrethrum Spray Catch (PSC),3,3,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-22T20:38:39.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1279,Pyrethrum Spray Catch (PSC),4,4,0,4,0,0,0,0,0,1,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-22T20:35:51.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1278,Pyrethrum Spray Catch (PSC),5,5,0,5,0,0,0,0,0,3,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-22T20:29:16.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1276,Pyrethrum Spray Catch (PSC),4,4,0,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-21T22:29:37.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1275,Pyrethrum Spray Catch (PSC),5,5,0,5,0,0,0,0,0,1,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,Unknown,Unknown,,,2025-11-20T09:49:07.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Mayuge,78,1274,Pyrethrum Spray Catch (PSC),2,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No,,,Unknown,Unknown,,,2025-11-20T19:47:19.000Z,78,Bukatube Health Centre III,,,,,,,Village Health Team (VHT)
Uganda,Adjumani,85,1273,CDC Light Trap (LTC),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,No,,,Unknown,Unknown,,,2025-11-21T19:07:13.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,85,1271,CDC Light Trap (LTC),26,17,9,17,1,1,0,2,0,2,4,0,6,0,7,0,0,9,0,1,0,0,2,0,0,0,0,0,0,6,0,0,6,0,4,No,,,Unknown,Unknown,,,2025-11-21T06:00:34.000Z,85,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
Uganda,Adjumani,87,1270,Pyrethrum Spray Catch (PSC),9,8,1,8,1,0,0,1,0,2,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,No,,2,Pyrethroid + PBO,OLYSET Plus,4,,2025-11-20T10:38:08.000Z,87,Ofua (Ofua) Health Centre III,,,,,,,Vector Control Officer (VCO)
